nama_produk,harga,stok,kategori,berat_gram,deskripsi
Brake Pad XYZ Motor,85000,24,Rem,200,"Brake pad berkualitas untuk motor matic dan bebek"
Oli Federal Matic 1L,52000,48,Oli,1000,"Oli mesin khusus motor matic SAE 10W-30"
Helm Half Face SNI Merah,185000,12,Helm,800,"Helm half face berstandar SNI warna merah"
Filter Udara Honda Beat,45000,36,Filter,150,"Filter udara original kompatibel Honda Beat"
Kampas Rem Depan Yamaha,38000,30,Rem,180,"Kampas rem depan untuk Yamaha Mio dan NMAX"
Busi NGK Racing,28000,60,Mesin,50,"Busi racing performa tinggi untuk semua motor"
Rantai Motor RK 428,95000,18,Transmisi,600,"Rantai motor RK 428 panjang 120 mata"
Oli Gardan Matic 150ml,22000,72,Oli,200,"Oli gardan khusus motor matic 150ml"
Spion Bulat Chrome Universal,65000,20,Aksesoris,300,"Spion bulat chrome universal motor"
Ban Dalam IRC 80/90-14,48000,15,Ban,400,"Ban dalam IRC ukuran 80/90-14 ring 14"
Kabel Gas Universal,32000,25,Mesin,100,"Kabel gas universal panjang 1.2m"
Aki Yuasa YTZ5S,245000,8,Elektrik,2000,"Aki kering Yuasa YTZ5S untuk motor matic"
Lampu LED H4 Motor,75000,22,Elektrik,150,"Lampu LED H4 6000K untuk motor"
Grip Gas Karbon Universal,35000,40,Aksesoris,100,"Grip gas motif karbon universal"
Seal Oli Fork Depan,42000,16,Suspensi,200,"Seal oli garpu depan universal 33mm"
